,TIMESTAMP_START,TIMESTAMP_END,DTime,NETRAD,P,PA,PPFD_DIF,PPFD_IN,PPFD_OUT,RH,SW_IN,SW_OUT,TA,TS,TS_2,TS_3,WD,WS,CO2,FC,H,H2O,LE,SB,SC,SH,SLE,TAU,USTAR,ZL,PRI,G,SAP_FLOW
5631,2010-04-28 07:30:00,2010-04-28 08:00:00,118.333,395.29,0.0,98.75,231.68,934.21,53.05,46.09,562.34,70.21,16.92,9.69,9.68,9.57,41.28,1.11,408.52,-1.34,112.45,8.74,52.66,19.28,-2.46,25.82,-21.43,0.09,0.28,-1.41,0.53315552,18.965,0.978090821285714
5632,2010-04-28 08:00:00,2010-04-28 08:30:00,118.354,454.54,0.0,98.76,246.85,1057.7,60.01,47.0,629.73,77.14,17.4,9.71,9.65,9.54,359.46,1.54,406.83,-1.08,131.37,9.21,41.04,18.49,-0.69,7.3,187.06,0.15,0.35,-0.79,0.535083176,17.855,0.81182899
5633,2010-04-28 08:30:00,2010-04-28 09:00:00,118.375,500.55,0.0,98.76,266.67,1168.63,65.79,45.54,685.97,84.76,18.22,9.76,9.65,9.52,15.72,1.17,405.43,-1.81,189.03,9.36,67.51,15.83,-0.23,12.29,-14.6,0.15,0.36,-1.09,0.5313642470000001,14.245,1.4200152838888898
5634,2010-04-28 09:00:00,2010-04-28 09:30:00,118.396,545.64,0.0,98.74,296.7,1266.45,71.7,44.74,740.42,94.12,18.66,9.84,9.66,9.51,336.53,1.94,403.46,-1.24,192.09,9.44,58.19,17.56,-1.06,6.78,117.37,0.19,0.41,-0.76,0.523715458,15.03,1.7091435873333303
5637,2010-04-28 10:30:00,2010-04-28 11:00:00,118.458,620.2,0.0,98.67,329.96,1436.48,83.71,37.41,835.12,113.64,19.73,10.19,9.8,9.51,330.89,2.2,401.57,-3.67,251.34,8.47,77.94,17.63,0.32,8.58,49.82,0.25,0.47,-0.65,0.540984665,13.51,2.45752482611111
5638,2010-04-28 11:00:00,2010-04-28 11:30:00,118.479,626.64,0.0,98.62,304.07,1454.57,85.62,35.95,845.3,116.44,20.12,10.34,9.88,9.53,340.96,2.97,401.19,-1.72,163.25,8.46,40.37,19.2,-0.44,5.94,49.99,0.31,0.52,-0.31,0.549345745,14.455,2.52435388133333
5639,2010-04-28 11:30:00,2010-04-28 12:00:00,118.5,621.61,0.0,98.58,317.07,1454.24,87.07,35.59,842.31,117.84,20.53,10.45,9.96,9.53,8.09,2.31,400.86,-5.08,248.74,8.59,79.49,18.29,-0.08,6.12,-16.4,0.35,0.55,-0.4,0.5501204510000001,14.805,2.55062552522222
5640,2010-04-28 12:00:00,2010-04-28 12:30:00,118.521,605.27,0.0,98.54,324.48,1431.8,87.23,35.58,825.89,117.02,20.85,10.54,10.03,9.55,340.88,2.55,400.11,-2.37,294.99,8.71,83.18,16.78,-0.39,4.72,82.31,0.41,0.6,-0.36,0.546840646,13.93,2.6961248306666703
5641,2010-04-28 12:30:00,2010-04-28 13:00:00,118.542,578.37,0.0,98.53,314.91,1385.25,85.35,34.98,796.39,113.93,21.15,10.64,10.1,9.57,334.34,2.69,399.34,-0.83,181.97,8.69,47.13,16.13,-0.26,4.56,-17.0,0.32,0.53,-0.33,0.544635616,12.96,2.80292730088889
5642,2010-04-28 13:00:00,2010-04-28 13:30:00,118.56200000000001,542.24,0.0,98.52,312.41,1320.2,82.06,33.73,755.88,108.53,21.54,10.73,10.17,9.6,337.66,2.69,398.84,-2.47,244.28,8.52,88.1,13.96,-0.12,5.71,-86.36,0.4,0.59,-0.31,0.539512397,11.115,2.78373395322222
5643,2010-04-28 13:30:00,2010-04-28 14:00:00,118.583,494.9,0.0,98.49,291.62,1232.53,76.88,32.74,703.09,102.21,21.82,10.81,10.24,9.63,331.49,2.52,398.35,-1.22,191.45,8.35,52.2,11.7,-0.22,4.26,-145.03,0.37,0.57,-0.28,0.53725381,9.16,2.81070374533333
5644,2010-04-28 14:00:00,2010-04-28 14:30:00,118.604,433.29,0.0,98.45,265.49,1114.34,70.67,31.68,634.19,94.36,21.99,10.87,10.3,9.66,342.36,2.31,398.11,-2.09,209.6,8.1,70.88,9.22,-0.13,2.44,-108.55,0.35,0.56,-0.33,0.542333367,7.32,2.8954188592222203
5645,2010-04-28 14:30:00,2010-04-28 15:00:00,118.625,378.95,0.0,98.41,279.15,1011.25,65.79,30.24,573.62,88.42,22.25,10.95,10.36,9.7,348.91,2.34,398.28,-1.08,145.47,7.82,29.28,8.86,0.14,3.97,-71.55,0.27,0.49,-0.34,0.548440455,6.33,2.87260084177778
5646,2010-04-28 15:00:00,2010-04-28 15:30:00,118.646,308.52,0.0,98.38,273.52,879.62,58.92,29.9,495.07,80.16,22.39,11.03,10.43,9.73,347.66,1.84,398.38,-2.3,169.91,7.76,65.71,7.81,-0.04,2.09,38.72,0.25,0.47,-0.44,0.5562824510000001,5.28,2.73403778288889
5647,2010-04-28 15:30:00,2010-04-28 16:00:00,118.667,232.99,0.0,98.36,297.89,742.94,51.36,30.11,411.06,71.86,22.3,11.1,10.49,9.76,338.95,2.16,398.37,-1.27,107.84,7.76,40.35,5.78,-0.19,-1.44,22.32,0.21,0.43,-0.37,0.561039479,3.565,2.65700235166667
5648,2010-04-28 16:00:00,2010-04-28 16:30:00,118.68799999999999,158.44,0.0,98.33,382.82,602.23,43.13,30.09,328.11,64.88,22.24,11.16,10.55,9.79,351.2,2.26,398.38,-1.63,74.31,7.72,41.59,3.88,0.12,-0.92,-95.61,0.2,0.42,-0.27,0.565339082,1.975,2.56289831277778
5649,2010-04-28 16:30:00,2010-04-28 17:00:00,118.708,64.18,0.0,98.32,377.96,394.59,30.83,29.74,216.52,48.88,22.14,11.22,10.61,9.83,358.86,1.83,399.1,0.02,53.46,7.58,43.05,2.73,0.5,-1.41,27.12,0.19,0.41,-0.21,0.564667615,0.825,2.3938492643333302
